Spielname,Genre,Minispiel,Optionalität,UI - Transformation,Belohnungen,Einfluss Minispiel - Belohnung auf Hauptspiel,Auftreten,Wiederholung,Retry,Komplexität,Veränderung der Schwierigkeit,Einsatz,Geforderte(r) Skill(s),Abbruchbarkeit,Unterbricht Hauptspielfluss,Räumliche Einschränkung,Timer,Cooldown
Persona 5 Royal,"JRPG, Komplexe Handlung, JRPG",Darts,ja,stark,"upgrades, XP",ja,einmalig,ja,nein,mittel,kontext_situativ,ja,timing,nein,ja,ja,nein,ja
Persona 5 Royal,"JRPG, Komplexe Handlung, JRPG",Fishing,ja,mittel,"upgrades, spielwährung",ja,einmalig,ja,nein,mittel,kontext_schwieriger,ja,"timing, strategie",nein,ja,ja,nein,ja
Persona 5 Royal,"JRPG, Komplexe Handlung, JRPG",Quiz Show,ja,leicht,upgrades,ja,einmalig,ja,nein,gering,konstant,nein,wissen,nein,ja,ja,nein,ja
Persona 5 Royal,"JRPG, Komplexe Handlung, JRPG",Video Games,ja,mittel,upgrades,ja,einmalig,ja,nein,gering,kontext_schwieriger,ja,"timing, glück",nein,ja,ja,ja,ja
Red Dead Redemption 2,Action-Adventure,Poker,ja,mittel,spielwährung,ja,häufig,ja,ja,mittel,kontext_leichter,ja,"strategie, logik",ja,ja,nein,nein,nein
Red Dead Redemption 2,Action-Adventure,Domino,ja,mittel,spielwährung,ja,selten,ja,ja,mittel,konstant,ja,"strategie, logik",ja,ja,nein,nein,nein
Red Dead Redemption 2,Action-Adventure,Blackjack,ja,mittel,spielwährung,ja,selten,ja,ja,mittel,konstant,ja,"strategie, logik",ja,ja,nein,nein,nein
Red Dead Redemption 2,Action-Adventure,Five Finger Fillet,ja,mittel,spielwährung,ja,selten,ja,ja,gering,konstant,ja,"geschicklichkeit, gedächtnis",ja,ja,nein,nein,nein
Red Dead Redemption 2,Action-Adventure,Angeln,einmalig,leicht,ressourcen,ja,frei,ja,nein,gering,konstant,nein,geschicklichkeit,ja,ja,nein,nein,nein
Resident Evil Biohazard,Survival Horror,Schatten Puzzle,nein,mittel,storyfortschritt,nein,selten,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil Biohazard,Survival Horror,"""7"" Puzzle",ja,mittel,upgrades,ja,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil Biohazard,Survival Horror,Happy Birthday Puzzle,ja,keine,storyfortschritt,ja,einmalig,nein,ja,mittel,konstant,ja,logik,nein,ja,nein,nein,nein
Resident Evil 4 (Remake),Survival Horror,Shooting Range,ja,leicht,upgrades,ja,häufig,ja,ja,mittel,konstant,nein,"geschicklichkeit, präzision",ja,ja,nein,ja,nein
Resident Evil 4 (Remake),Survival Horror,Symbol Schloss Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 4 (Remake),Survival Horror,Crystal Marble Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 4 (Remake),Survival Horror,Lake Door Puzzle,nein,stark,storyfortschritt,nein,selten,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 4 (Remake),Survival Horror,Hexagon Puzzle,ja,stark,Verkäufliche/eintauschbare Items,ja,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 4 (Remake),Survival Horror,Stained Glass Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 4 (Remake),Survival Horror,Strom Puzzel,nein,stark,storyfortschritt,nein,selten,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 3 (Remake),Survival Horror,Schienen Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 3 (Remake),Survival Horror,Lab Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 2 (Remake),Survival Horror,Statue Puzzle,nein,mittel,storyfortschritt,nein,selten,nein,ja,gering,konstant,nein,wissen,ja,ja,ja,nein,nein
Resident Evil 2 (Remake),Survival Horror,Electric Door Panel,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 2 (Remake),Survival Horror,Zahlenkombnation,ja,stark,"Verkäufliche/eintauschbare Items, upgrades",ja,häufig,nein,ja,gering,konstant,nein,"wissen, logik",ja,ja,ja,nein,nein
Resident Evil 2 (Remake),Survival Horror,Tragbarer Tresor,ja,stark,upgrades,ja,selten,nein,ja,gering,konstant,nein,gedächtnis,ja,ja,nein,nein,nein
Resident Evil 2 (Remake),Survival Horror,Generator Switch Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 2 (Remake),Survival Horror,Sherry Puzzle,nein,mittel,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil 2 (Remake),Survival Horror,Verteilerkatusche Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,mittel,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil Village,Survival Horror,Labyrinth Puzzle,ja,mittel,Verkäufliche/eintauschbare Items,ja,selten,nein,ja,gering,konstant,nein,geschicklichkeit,ja,ja,ja,nein,nein
Resident Evil Village,Survival Horror,Musik Box Puzzle,nein,mittel,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil Village,Survival Horror,Film Puzzle,nein,mittel,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil Village,Survival Horror,Schleusentor Puzzle,nein,mittel,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Resident Evil Village,Survival Horror,Piano Puzzle,nein,mittel,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill f,Survival Horror,Altar Rätsel,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill f,Survival Horror,Zahlenkombnation,einmalig,stark,"storyfortschritt, upgrades",ja,selten,nein,ja,gering,konstant,nein,"logik, wissen",ja,ja,ja,nein,nein
Silent Hill f,Survival Horror,Geheimkiste Rätsel,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill f,Survival Horror,Waage Rätsel,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,Coin Puzzle,nein,stark,"storyfortschritt, gameplay-effekt",ja,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,Zahlenkombnation,nein,stark,storyfortschritt,nein,häufig,nein,ja,gering,konstant,nein,wissen,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,Armband Puzzle,nein,mittel,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,X-Ray Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,Bücher Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,Generator Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,Gewichte Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,Galgen Puzzle,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,Spiegel Rätsel,nein,mittel,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Silent Hill 2,Survival Horror,Spieluhr Rätsel,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Skyrim,"Open World, Rollenspiel, Abenteuer",Lockpicking,ja,mittel,"Verkäufliche/eintauschbare Items, spielwährung",ja,häufig,ja,nein,mittel,minispiel_schwieriger,ja,"strategie, geschicklichkeit",ja,ja,nein,nein,nein
Smash Bros Melee,Action,Break the targets,nein,leicht,keine,ja,frei,ja,nein,mittel,minispiel_schwieriger,nein,"strategie, geschicklichkeit",ja,nein,ja,ja,nein
Smash Bros Melee,Action,Grab a trophy,nein,leicht,collectibles,ja,frei,ja,nein,gering,konstant,nein,"geschicklichkeit, timing",ja,ja,ja,ja,nein
Smash Bros Melee,Action,Race to the finish,nein,keine,keine,ja,frei,ja,nein,mittel,konstant,nein,"geschicklichkeit, timing",ja,ja,ja,ja,nein
South Park: The Stick of Truth,"Rollenspiel, Abenteuer, Humor",Abortion Minigame,nein,leicht,storyfortschritt,ja,einmalig,nein,ja,gering,konstant,nein,mashing,nein,nein,ja,ja,nein
South Park: The Stick of Truth,"Rollenspiel, Abenteuer, Humor",Pottytime,ja,leicht,Verkäufliche/eintauschbare Items,nein,häufig,ja,nein,gering,konstant,nein,mashing,ja,nein,ja,nein,nein
South Park: The Stick of Truth,"Rollenspiel, Abenteuer, Humor","Giving Randy and ""abortion""",nein,leicht,storyfortschritt,ja,einmalig,nein,nein,mittel,konstant,nein,geschicklichkeit,nein,nein,ja,nein,nein
Super Mario 3D World,Action,Captain Toads Adventure,ja,keine,ressourcen,ja,häufig,ja,ja,mittel,minispiel_schwieriger,nein,"timing, logik",ja,ja,ja,ja,nein
Super Mario Odyssey,Action,Balloon World,ja,leicht,spielwährung,nein,häufig,ja,nein,gering,minispiel_schwieriger,ja,geschicklichkeit,ja,ja,ja,ja,nein
Super Mario Odyssey,Action,Slots,ja,keine,Verkäufliche/eintauschbare Items,ja,selten,ja,nein,gering,konstant,ja,timing,ja_bereich,nein,ja,nein,nein
Super Mario Odyssey,Action,Trace Challenge,ja,leicht,Verkäufliche/eintauschbare Items,ja,häufig,ja,ja,gering,minispiel_schwieriger,nein,geschicklichkeit,ja_bereich,ja,ja,nein,nein
Super Mario Odyssey,Action,Picture Match,ja,keine,Verkäufliche/eintauschbare Items,ja,selten,ja,ja,mittel,minispiel_schwieriger,nein,gedächtnis,ja_bereich,ja,ja,nein,nein
Super Mario Odyssey,Action,Seilspringen,ja,leicht,Verkäufliche/eintauschbare Items,ja,einmalig,ja,nein,gering,konstant,nein,"timing, mashing",ja_bereich,ja,ja,nein,nein
Super Mario Odyssey,Action,RC Car,ja,mittel,Verkäufliche/eintauschbare Items,ja,einmalig,ja,nein,mittel,konstant,nein,geschicklichkeit,ja,nein,ja,ja,nein
Super Mario Odyssey,Action,Bound Bowl Racing,ja,leicht,Verkäufliche/eintauschbare Items,ja,selten,ja,nein,mittel,konstant,nein,timing,nein,ja,ja,ja,nein
Super Mario Odyssey,Action,Beach Volleyball,ja,leicht,Verkäufliche/eintauschbare Items,ja,einmalig,ja,nein,gering,konstant,nein,"timing, geschicklichkeit",ja_bereich,nein,ja,nein,nein
Super Mario Odyssey,Action,Koopa Freerunning,ja,leicht,Verkäufliche/eintauschbare Items,ja,häufig,ja,nein,gering,kontext_schwieriger,nein,"strategie, geschicklichkeit",nein,nein,ja,ja,ja
Super Mario Sunshine,Action,Slide Minigame,ja,keine,storyfortschritt,ja,einmalig,ja,ja,gering,konstant,nein,timing,ja,nein,ja,nein,nein
Super Mario Sunshine,Action,Jetslide Minigame,ja,keine,storyfortschritt,ja,einmalig,ja,ja,mittel,konstant,nein,timing,ja,nein,ja,nein,ja
Super Mario Sunshine,Action,Tall grass minigame,ja,keine,storyfortschritt,ja,einmalig,ja,ja,gering,konstant,nein,strategie,ja,nein,ja,nein,ja
Super Mario Sunshine,Action,Pachinko minigame,ja,keine,storyfortschritt,ja,einmalig,ja,ja,gering,konstant,nein,timing,ja,nein,ja,nein,ja
Super Mario Sunshine,Action,Lily pad Ride,ja,keine,storyfortschritt,ja,einmalig,ja,ja,mittel,konstant,nein,geschicklichkeit,ja,nein,ja,nein,ja
Super Mario Sunshine,Action,Blooper race,ja,leicht,storyfortschritt,ja,einmalig,ja,ja,mittel,konstant,nein,"strategie, timing, geschicklichkeit",ja,nein,ja,ja,nein
Super Mario 64 DS,Action,Hasen fangen,nein,keine,"Verkäufliche/eintauschbare Items",ja,häufig,ja,nein,gering,konstant,nein,"geschicklichkeit, timing",ja,nein,nein,nein,ja
The Order: 1886,Action-Adventure,Lockpicking,nein,mittel,storyfortschritt,nein,selten,nein,ja,gering,konstant,nein,"geschicklichkeit, timing",ja,ja,nein,nein,nein
The Order: 1886,Action-Adventure,Umkehrer/Gleichrichter TS-27,nein,mittel,storyfortschritt,nein,häufig,nein,ja,gering,konstant,nein,"geschicklichkeit, timing",ja,ja,nein,nein,nein
The Order: 1886,Action-Adventure,Morse Code,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,"geschicklichkeit, timing",nein,ja,ja,nein,nein
The Witcher 2,"Rollenspiel, Fantasy",Am Wrestling,ja,leicht,spielwährung,ja,häufig,ja,nein,gering,minispiel_situativ,ja,timing,nein,ja,ja,nein,nein
The Witcher 2,"Rollenspiel, Fantasy",Fistfights,ja,leicht,spielwährung,ja,häufig,ja,nein,gering,minispiel_situativ,ja,timing,nein,ja,ja,nein,nein
The Witcher 2,"Rollenspiel, Fantasy",Dice,ja,stark,spielwährung,ja,häufig,ja,nein,gering,konstant,ja,glück,nein,ja,ja,nein,nein
The Witcher 3,Action-Adventure,Gwint,ja,stark,"XP, spielwährung",ja,häufig,ja,ja,hoch,konstant,ja,strategie,ja,ja,ja,nein,nein
The Witcher 3,Action-Adventure,Pferderennen,einmalig,leicht,"XP, spielwährung, Verkäufliche/eintauschbare Items",ja,häufig,nein,ja,gering,konstant,ja,strategie,ja_bereich,ja,ja,nein,nein
The Witcher 3,Action-Adventure,Faustkampf,ja,leicht,"XP, spielwährung, Verkäufliche/eintauschbare Items",ja,häufig,nein,ja,gering,konstant,ja,"strategie, geschicklichkeit",nein,ja,ja,nein,nein
TLOZ A Link Between Worlds,Action,Cucco Ranch,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,minispiel_schwieriger,ja,geschicklichkeit,nein,ja,ja,ja,nein
TLOZ A Link Between Worlds,Action,Fortune's Choice,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,glück,nein,ja,ja,nein,nein
TLOZ A Link Between Worlds,Action,Hyrule Hotfoot,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,minispiel_schwieriger,ja,strategie,nein,ja,nein,ja,nein
TLOZ A Link Between Worlds,Action,Rupee rush,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,mittel,konstant,ja,"timing, strategie",nein,ja,ja,ja,nein
TLOZ A Link Between Worlds,Action,Treacherous Tower,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,hoch,minispiel_schwieriger,ja,"geschicklichkeit, strategie, wissen",nein,nein,nein,nein,nein
TLOZ Breath of the Wild,Action,Bird-Man Reasearch Study,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,nein,ja,gering,konstant,ja,geschicklichkeit,nein,nein,ja,nein,nein
TLOZ Breath of the Wild,Action,Shield Surfing,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,geschicklichkeit,nein,nein,ja,ja,nein
TLOZ Breath of the Wild,Action,Boom Boomb Golf,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"strategie, mashing",nein,ja,ja,nein,nein
TLOZ Breath of the Wild,Action,Flight Range,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,mittel,konstant,nein,"geschicklichkeit, präzision",nein,ja,ja,ja,nein
TLOZ Breath of the Wild,Action,Snowball Bowling,ja,keine,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"präzision, geschicklichkeit",nein,ja,ja,nein,nein
TLOZ Breath of the Wild,Action,Test Of Wood,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,strategie,nein,nein,ja,ja,nein
TLOZ Breath of the Wild,Action,Super Gut Check,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,minispiel_schwieriger,ja,"geschicklichkeit, strategie",ja,nein,ja,ja,nein
TLOZ Breath of the Wild,Action,Blaue Flamme,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"geschicklichkeit, strategie",nein,nein,nein,ja,nein
TLOZ Breath of the Wild,Action,Foot Race,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,strategie,nein,nein,nein,ja,nein
TLOZ Breath of the Wild,Action,Sand - Sally Rally,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,geschicklichkeit,nein,ja,ja,ja,nein
TLOZ Breath of the Wild,Action,Mounted Archery,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,mittel,konstant,ja,"geschicklichkeit, timing, präzision",nein,ja,ja,ja,nein
TLOZ Breath of the Wild,Action,Deer Hunting,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,mittel,konstant,nein,geschicklichkeit,nein,ja,ja,ja,nein
TLOZ Breath of the Wild,Action,Paraglider Course,ja,leicht,"spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,geschicklichkeit,nein,ja,ja,nein,nein
TLOZ Majora’s Mask,Action,Schießbuden Sumpf,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,ja,"timing, geschicklichkeit",nein,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Schießbude Unruhstadt,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,ja,"timing, geschicklichkeit",ja,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Deku Hüpf Spiel,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,kontext_situativ,ja,"geschicklichkeit, strategie",ja,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Koumes Bootsfahrt,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,mittel,konstant,ja,"timing, geschicklichkeit",ja,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Dojo des schwertmeisters,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,minispiel_schwieriger,ja,strategie,ja,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Krabbelminen schießbude,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,hoch,minispiel_schwieriger,ja,"timing, geschicklichkeit, strategie",ja,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Zu Schatzkiste,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,mittel,konstant,ja,logik,ja,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Gorman Rennen,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,ja,"timing, logik",nein,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Goronen Rennen,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,nein,"geschicklichkeit, strategie",nein,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,biberennen,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,mittel,minispiel_schwieriger,nein,"strategie, geschicklichkeit",nein,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Fackelspiel,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,ja,"timing, strategie",nein,ja,ja,ja,nein
TLOZ Majora’s Mask,Action,Hunderennen,ja,stark,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,mittel,konstant,ja,"logik, strategie",nein,ja,ja,ja,nein
TLOZ Minish Cap,Action,Simons Simulations,ja,keine,ressourcen,ja,einmalig,ja,nein,mittel,konstant,ja,geschicklichkeit,nein,ja,ja,nein,nein
TLOZ Minish Cap,Action,Treasure Chest Game,ja,keine,spielwährung,ja,einmalig,ja,nein,gering,minispiel_schwieriger,ja,glück,nein,ja,ja,nein,nein
TLOZ Minish Cap,Action,Cucco Wrangling,ja,leicht,spielwährung,ja,einmalig,ja,nein,hoch,minispiel_schwieriger,nein,"geschicklichkeit, strategie",nein,ja,ja,ja,ja
TLOZ: Ocarina of Time,Action,Shooting gallery(slingshot),ja,keine,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"geschicklichkeit, timing",nein,ja,ja,ja,nein
TLOZ: Ocarina of Time,Action,Shooting gallery(fairy bow)),ja,keine,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"geschicklichkeit, timing",nein,ja,ja,ja,nein
TLOZ: Ocarina of Time,Action,Super Cucco,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,strategie,nein,ja,ja,ja,nein
TLOZ: Ocarina of Time,Action,Skull Kid Jam Session,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,nein,"timing, gedächtnis",nein,ja,ja,nein,nein
TLOZ: Ocarina of Time,Action,Bowling Alley,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,mittel,konstant,ja,timing,ja_bereich,ja,ja,nein,nein
TLOZ: Ocarina of Time,Action,Zora Diving Game,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,mittel,konstant,ja,geschicklichkeit,nein,ja,ja,ja,nein
TLOZ: Ocarina of Time,Action,Fishing Pond,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"logik, mashing",ja_bereich,nein,ja,nein,nein
TLOZ: Ocarina of Time,Action,Ingo Race,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"mashing, strategie",nein,ja,ja,ja,nein
TLOZ: Ocarina of Time,Action,Epona race,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,nein,"mashing, strategie",nein,ja,ja,ja,nein
TLOZ: Ocarina of Time,Action,Dampes Race,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,nein,nein,gering,konstant,nein,geschicklichkeit,nein,ja,ja,ja,nein
TLOZ: Ocarina of Time,Action,Treasure Box,ja,keine,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,glück,ja_bereich,ja,ja,ja,nein
TLOZ: Ocarina of Time,Action,Horseback archery,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"geschicklichkeit, präzision",nein,ja,ja,ja,nein
TLOZ: Ocarina of Time,Action,Commemoratorive Race,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung, Verkäufliche/eintauschbare Items",nein,einmalig,ja,nein,gering,konstant,nein,"strategie, mashing",nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Bird Man Flight Research,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,geschicklichkeit,nein,ja,ja,nein,nein
TLOZ Tears of the Kingdom,Action,Collect The Sand-Seal,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,selten,nein,nein,gering,minispiel_schwieriger,ja,logik,nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Test Of Strength,ja,keine,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,mittel,konstant,ja,strategie,nein,ja,ja,nein,nein
TLOZ Tears of the Kingdom,Action,Desert Race,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,strategie,nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Dive Ceremony,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,selten,ja,nein,gering,minispiel_schwieriger,nein,geschicklichkeit,nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Flight Training,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,minispiel_schwieriger,ja,geschicklichkeit,nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Horse Race,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"geschicklichkeit, strategie",nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Lurelin Water Rally,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,mittel,konstant,nein,"geschicklichkeit, logik, strategie",nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Mine-Cart Land,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,minispiel_schwieriger,ja,"geschicklichkeit, strategie",nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Rito Warrior Training,ja,keine,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,"strategie, geschicklichkeit",nein,ja,ja,nein,nein
TLOZ Tears of the Kingdom,Action,Selmies Shield Surfing,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,geschicklichkeit,nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Tarrey Town Race Project,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,mittel,konstant,nein,"strategie, logik",nein,ja,ja,ja,nein
