Spielname,Genre,Minispiel,Optionalität,UI - Transformation,Belohnungen,Einfluss Minispiel - Belohnung auf Hauptspiel,Auftreten,Wiederholung,Retry,Komplexität,Veränderung der Schwierigkeit,Einsatz,Geforderte(r) Skill(s),Abbruchbarkeit,Unterbricht Hauptspielfluss,Räumliche Einschränkung,Timer,Cooldown
Final Fantasy VII,"Abenteuer, Rollenspiel",Whirlwind Maze,nein,keine,storyfortschritt,nein,selten,ja,ja,gering,konstant,nein,timing,ja,nein,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Submarine Game,einmalig,stark,storyfortschritt,nein,selten,ja,ja,mittel,konstant,ja,strategie,nein,ja,ja,nein,ja
Fire Emblem three Houses,"Action, RPG, Strategie",Tea Party,ja,stark,upgrades,ja,häufig,ja,nein,mittel,konstant,ja,logik,nein,ja,ja,nein,ja
Fire Emblem three Houses,"Action, RPG, Strategie",Fishing Pond,ja,leicht,ressourcen,ja,häufig,ja,nein,gering,minispiel_schwieriger,ja,"timing, mashing",ja,ja,ja,nein,nein
Five Nights at Freddy's: Secret of the Mimic,Survival Horror,Data Diver Upgrade,nein,stark,storyfortschritt,nein,häufig,nein,ja,gering,konstant,nein,"logik, timing",ja,ja,nein,nein,nein
Five Nights at Freddy's: Secret of the Mimic,Survival Horror,Power Generator,nein,keine,storyfortschritt,nein,häufig,nein,ja,gering,konstant,nein,logik,ja,ja,ja,ja,nein
Five Nights at Freddy's: Secret of the Mimic,Survival Horror,Moon.exe,ja,stark,gameplay-effekt,ja,frei,ja,ja,gering,konstant,nein,logik,ja,ja,nein,nein,nein
Five Nights at Freddy's: Security Breach,Survival Horror,Princess Quest,nein,stark,gameplay-effekt,nein,selten,ja,ja,mittel,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Five Nights at Freddy's: Security Breach,Survival Horror,Balloon World,nein,stark,keine,nein,einmalig,ja,ja,gering,konstant,nein,"geschicklichkeit, timing",nein,ja,ja,nein,nein
Five Nights at Freddy's: Security Breach,Survival Horror,Monty Golf AR-Arcade,nein,stark,keine,nein,einmalig,ja,ja,gering,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Genshin Impact,Open World RPG,Angeln,ja,leicht,ressourcen,ja,frei,nein,nein,gering,kontext_leichter,nein,geschicklichkeit,ja,ja,ja,nein,ja
Genshin Impact,Open World RPG,Genius Invokation TCG,ja,stark,"XP, spielwährung, Verkäufliche/eintauschbare Items",ja,häufig,ja,ja,hoch,konstant,nein,"strategie, logik",ja,ja,ja,nein,nein
Genshin Impact,Open World RPG,Repertoire of Myriad Melodies,ja,mittel,spielwährung,ja,frei,ja,ja,mittel,minispiel_schwieriger,nein,"timing, geschicklichkeit, multitasking",ja,ja,nein,ja,nein
God of War III,Action-Adventure,Pandoras Musik Puzzle,nein,leicht,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,"geschicklichkeit, timing",nein,ja,ja,nein,nein
Golden Sun,RPG,Happy Wheels,ja,stark,spielwährung,ja,einmalig,ja,nein,gering,konstant,ja,keine,nein,ja,ja,nein,nein
Grand Theft Auto V,"Action, Open World",Dart,nein,leicht,storyfortschritt,nein,selten,ja,ja,gering,konstant,nein,"timing, geschicklichkeit",ja,ja,nein,nein,nein
Grand Theft Auto V,"Action, Open World",Triathlon,nein,leicht,"storyfortschritt, upgrades",ja,selten,ja,ja,mittel,kontext_leichter,nein,strategie,ja_bereich,ja,nein,ja,nein
