Spiel;Genre;Minispiel;Jahr;Einfluss Minispiel Belohnung;Wiederholung;Abbruchbarkeit;Unterbricht Hauptspielfluss;Räumliche Einschränlung;Einsatz;Timer ;Cooldown;Retry
super mario 3d world;Jump-'n'-Run;captain toads adventure;2021;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja
chained echoes;JRPG;fishing;2022;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja
chained echoes;JRPG;rock paper scissor;2022;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja
chained echoes;JRPG;dapple devour;2022;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja
chained echoes;JRPG;tumultuous turtle touchdown;2022;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja
paper mario the thousand year door;RPG;matching game;2024;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja
paper mario the thousand year door;RPG;plane game;2024;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja
paper mario the thousand year door;RPG;paper game;2024;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja
paper mario the thousand year door;RPG;tube game;2024;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja
paper mario the thousand year door;RPG;boat game;2024;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja
