Spiel;Genre;Minispiel;Optional
FF VII;JRPG;shooting coaster;Ja
FF VII;JRPG;clock puzzle;Nein
FF VII;JRPG;excavation;Einmalig
FF VII;JRPG;snowboarding;Ja
FF VII;JRPG;glacier plattforming;Ja
FF VII;JRPG;temperatur;Nein
FF VII;JRPG;whirlwind maze ;Nein
FF VII;JRPG;submarine game;Einmalig
bioshock;First-Person Shooter;  hacking;Ja
mass effect 1;Action-RPG;bypass;Ja
mass effect 1;Action-RPG;override;Ja
mass effect 1;Action-RPG;pressure puzzle;Nein
mass effect 1;Action-RPG;cure puzzle;Nein
Persona 4;JRPG;fishing;Ja
persona 3 portable;JRPG;shuffle time;Nein
bioshock 2;First-Person Shooter;hacking;Ja
skyrim;Open World RPG;lockpicking;Ja
witcher 2;Action-RPG;am wrestling;Ja
witcher 2;Action-RPG;fistfights;Ja
witcher 2;Action-RPG;dice;Ja
bowsers inside story;RPG;bowser muscles;Nein
bowsers inside story;RPG;carrot eating;Nein
bowsers inside story;RPG;sneezing;Nein
bowsers inside story;RPG;adrenaline;Nein
bowsers inside story;RPG;chest station;Nein
bowsers inside story;RPG;statue push;Nein
mass effect 2;Action-RPG;bypass;Ja
mass effect 2;Action-RPG;planet scan;Ja
bioshock infinite;First-Person Shooter;shooting gallery;Ja
TLOZ a link between worlds;Action-Adventure;cucco ranch;Ja
TLOZ a link between worlds;Action-Adventure;fortunes choice;Ja
TLOZ a link between worlds;Action-Adventure;hyrule hotfoot;Ja
TLOZ a link between worlds;Action-Adventure;octoball derby;Ja
Nier automata;Action-RPG;hacking;Nein
Nier automata;Action-RPG;shoot em up;Nein
fire emblem three houses;Action-RPG;fishing;Ja
fire emblem three houses;Tactical RPG;gardening;Ja
Persona 5 royal;RPG;batting cage;Ja
Persona 5 royal;RPG;crossword puzzles;Ja
Persona 5 royal;RPG;darts;Ja
Persona 5 royal;RPG;fishing;Ja
Persona 5 royal;RPG;quiz show;Ja
Persona 5 royal;RPG;video games;Ja
super mario 3d world;Jump-'n'-Run;captain toads adventure;Ja
chained echoes;JRPG;fishing;Ja
chained echoes;JRPG;rock paper scissor;Ja
chained echoes;JRPG;dapple devour;Ja
chained echoes;JRPG;tumultuous turtle touchdown;Ja
paper mario the thousand year door;RPG;matching game;Ja
paper mario the thousand year door;RPG;plane game;Ja
paper mario the thousand year door;RPG;paper game;Ja
paper mario the thousand year door;RPG;tube game;Ja
paper mario the thousand year door;RPG;boat game;Ja
